Country,Doses Administered,Doses per 1000,Fully Vaccinated Population (%),Vaccine being used in a country
Mongolia,5492919,1732.7,68.63,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Croatia,5311360,1298.8,54.99,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Somalia,5029419,335.1,19.49,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Democratic Republic of Congo,4756847,56.6,3.42,Oxford/AstraZeneca
Syria,4649982,265.7,11.8,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Bulgaria,4587719,653.1,29.52,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Niger,4534313,202.0,13.28,"Oxford/AstraZeneca, Sinopharm/Beijing"
Lithuania,4517703,1619.5,67.37,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Malawi,4323160,238.3,12.39,"Johnson&Johnson, Oxford/AstraZeneca"
Sierra Leone,3940973,515.1,28.62,"Oxford/AstraZeneca, Sinopharm/Beijing"
Chad,3876928,250.5,23.33,Sinopharm/Beijing
Palestine,3741181,733.4,34.78,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Burkina Faso,3740943,179.5,11.64,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
Libya,3709205,555.4,18.4,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Benin,3687739,321.1,23.77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Liberia,3549394,736.5,61.26,Oxford/AstraZeneca
Bahrain,3474789,2214.0,78.15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm, Sinopharm/Beijing, Sputnik V"
Kyrgyzstan,3321692,525.9,21.41,"Sinopharm/Beijing, Sputnik V"
Togo,3286253,416.6,18.2,Oxford/AstraZeneca
Mauritania,3251620,738.4,32.34,"Oxford/AstraZeneca, Sinopharm/Beijing"
Slovenia,2996643,1449.5,59.12,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Mali,2990301,156.7,8.66,Oxford/AstraZeneca
Albania,2966256,1034.8,44.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Georgia,2930677,785.5,34.2,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
Latvia,2895716,1503.1,67.79,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
